counterparty_name,exposure_vnd,sector_code,sector_code_system,credit_limit_vnd,lei,tax_id,parent_name,parent_id,currency
EVN (Electricity of Vietnam),5000000000000,D3510,VSIC,6000000000000,,0100107871,EVN (Electricity of Vietnam),EVN_001,VND
Vinacomin Power JSC,910000000000,D3511,VSIC,1100000000000,,0301452948,Vinacomin,VINACOMIN_001,VND
International Power Mong Duong,620000000000,D3511,VSIC,750000000000,,0103456789,International Power,MONGDUONG_001,VND
Nghi Son Power LLC,1030000000000,D3511,VSIC,1200000000000,,0105678901,Nghi Son Power,NGHISON_001,VND
PVN Power Corporation,350000000000,D3510,VSIC,420000000000,,0102345678,PVN Power,PVN_001,VND
Dung Quat LNG Power Consortium,800000000000,D3511,VSIC,960000000000,,0106789012,Dung Quat,DUNGQUAT_001,VND
Vietnam Hydropower JSC,280000000000,D3511,VSIC,340000000000,,0107890123,EVN (Electricity of Vietnam),EVN_001,VND
Trung Nam Group,150000000000,D3510,VSIC,180000000000,,0108901234,Trung Nam,TRUNGNAME_001,VND
BIM Group,120000000000,D3510,VSIC,144000000000,,0109012345,BIM Group,BIM_001,VND
Thanh Thanh Cong Group,95000000000,D3510,VSIC,114000000000,,0110123456,Thanh Thanh Cong,TTC_001,VND
Xuan Thien Group,180000000000,D3510,VSIC,216000000000,,0111234567,Xuan Thien,XT_001,VND
T&T Group,200000000000,D3510,VSIC,240000000000,,0112345678,T&T Group,TT_001,VND
Gia Lai Electricity JSC,75000000000,D3511,VSIC,90000000000,,0113456789,EVN (Electricity of Vietnam),EVN_001,VND
THACO Industries,450000000000,D2910,VSIC,540000000000,,0114567890,THACO,THACO_001,VND
Toyota Motor Corporation,300000000000,D2910,VSIC,360000000000,,0115678901,Toyota,TOYOTA_001,VND
Ford Motor Company,250000000000,D2910,VSIC,300000000000,,0116789012,Ford,FORD_001,VND
Hyundai Motor Company,200000000000,D2910,VSIC,240000000000,,0117890123,Hyundai,HYUNDAI_001,VND
Vingroup JSC,600000000000,D2910,VSIC,720000000000,,0118901234,Vingroup,VIN_001,VND
Honda Motor Co Ltd,180000000000,D2910,VSIC,216000000000,,0119012345,Honda,HONDA_001,VND
VICEM,350000000000,D2394,VSIC,420000000000,,0120123456,VICEM,VICEM_001,VND
Holcim Group,280000000000,D2394,VSIC,336000000000,,0121234567,Holcim,HOLCIM_001,VND
Hoa Phat Group JSC,900000000000,D2410,VSIC,1080000000000,,0122345678,Hoa Phat,HOAPHAT_001,VND
Pomina Group,400000000000,D2410,VSIC,480000000000,,0123456789,Pomina,POMINA_001,VND
Vietnam National Coal-Mineral Industries Group,550000000000,D0510,VSIC,660000000000,,0124567890,Vinacomin,VINACOMIN_001,VND
Dong Bac Corporation,150000000000,D0510,VSIC,180000000000,,0125678901,Dong Bac,DONGBAC_001,VND
Công ty CP Nhiệt điện Vĩnh Tân,420000000000,D3511,VSIC,504000000000,,0126789012,EVN (Electricity of Vietnam),EVN_001,VND
Nhà máy Xi măng Hải Phòng,180000000000,D2394,VSIC,216000000000,,0127890123,VICEM,VICEM_001,VND
Tổng Công ty Thép Việt Nam,750000000000,D2410,VSIC,900000000000,,0128901234,VNSTEEL,VNSTEEL_001,VND
Empty Credit 1,100000000000,D3511,VSIC,,0129012345,Test Parent,TEST_001,VND
Empty Credit 2,200000000000,D2910,VSIC,,0130123456,Test Parent 2,TEST_002,VND
Bad VSIC Code 1,150000000000,Z9999,VSIC,180000000000,,0131234567,Test Parent 3,TEST_003,VND
Bad VSIC Code 2,250000000000,D35X1,VSIC,300000000000,,0132345678,Test Parent 4,TEST_004,VND
Empty Sector Code,180000000000,,VSIC,216000000000,,0133456789,Test Parent 5,TEST_005,VND
USD Exposure 1,50000000000,D3511,VSIC,60000000000,,0134567890,Test Parent 6,TEST_006,USD
USD Exposure 2,75000000000,D2910,VSIC,90000000000,,0135678901,Test Parent 7,TEST_007,USD
Unmatchable Company Alpha,300000000000,D3511,VSIC,360000000000,,0136789012,Alpha Group,ALPHA_001,VND
Unmatchable Company Beta,200000000000,D2910,VSIC,240000000000,,0137890123,Beta Corp,BETA_001,VND
Unmatchable Company Gamma,150000000000,D2394,VSIC,180000000000,,0138901234,Gamma Ltd,GAMMA_001,VND
Negative Exposure Co,-50000000000,D3511,VSIC,60000000000,,0139012345,Negative Parent,NEG_001,VND
EVN (Electricity of Vietnam),5000000000000,D3510,VSIC,6000000000000,,0100107871,EVN (Electricity of Vietnam),EVN_001,VND
