company_id,company_name,sector,assets,npv_baseline,npv_shock,npv_difference,npv_change,pd_baseline,pd_shock,pd_change
VN_ABCD_003,International Power Mong Duong,Power,1,734793433.9857858,13407840.916369846,-721385593.069416,-0.9817529113677013,0.18656093989829248,0.3996745006742748,0.2131135607759823
VN_ABCD_005,Nghi Son Power LLC,Power,1,751122176.9632477,13705792.93673362,-737416384.026514,-0.9817529113677012,0.1609956376514614,0.3833011378198081,0.22230550016834671
VN_ABCD_002,Vinacomin Power JSC,Power,1,1146246647.7684698,22634569.689874303,-1123612078.0785954,-0.9802533165667793,0.23866267046472467,0.4536594982127848,0.21499682774806012
VN_ABCD_001,EVN (Electricity of Vietnam),Power,3,10195792751.557806,3366207921.7935433,-6829584829.764263,-0.6698434340694869,0.1478068656807887,0.2950368951866048,0.1472300295058161
VN_ABCD_004,PVN Power Corporation,Power,2,4446803513.303852,2527432400.124586,-1919371113.1792667,-0.43162939568544756,0.11474523028334847,0.2037026681636933,0.08895743788034484
VN_ABCD_007,Vietnam Hydropower JSC,Power,1,1220519559.8105736,1104997310.2266452,-115522249.58392836,-0.09465006001366957,0.04673327910823499,0.05690201072800249,0.010168731619767495
VN_ABCD_013,Gia Lai Electricity JSC,Power,1,135748163.604535,143017843.63444465,7269680.029909641,0.053552695203213624,0.2583515113301599,0.24938085905568363,-0.008970652274476243
VN_ABCD_011,Xuan Thien Group,Power,1,274093423.49276125,288786179.22803235,14692755.735271096,0.053604918892405054,0.3288971722960897,0.3206471715449851,-0.008250000751104603
VN_ABCD_010,Thanh Thanh Cong Group,Power,1,228559982.21523535,240814365.72209972,12254383.506864369,0.053615612794913475,0.28315742656674203,0.2743452759486036,-0.008812150618138448
VN_ABCD_012,T&T Group,Power,1,235556716.36468133,248186234.06053135,12629517.695850017,0.05361561279491349,0.23228760072132237,0.2231147868043992,-0.009172813916923178
VN_ABCD_009,BIM Group,Power,1,178126400.86231276,187689130.80901873,9562729.946705967,0.053685079249412994,0.23796998983160955,0.2288310553029869,-0.009138934528622661
VN_ABCD_008,Trung Nam Group,Power,1,723554700.2094933,762576415.7116845,39021715.502191186,0.05393056736538798,0.3111376249472725,0.3024249352573274,-0.008712689689945097
VN_ABCD_006,Dung Quat LNG Power Consortium,Power,1,0,0,0,NA,NA,NA,NA
