scenario,scenario_type,scenario_geography,sector,technology,technology_type,price_unit,pathway_unit,country_iso2_list,scenario_provider,scenario_year,scenario_price,scenario_pathway,scenario_capacity_factor
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2025,68,36200,0.7
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2026,66.4,34352,0.62
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2027,64.8,31063.5,0.54
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2028,63.2,27680,0.46
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2029,61.6,24422.4,0.38
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2030,60,20992,0.3
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2031,58.4,17561.6,0.21999999999999997
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2032,56.8,14131.199999999997,0.13999999999999996
VN_NZE_STRESS,target,Vietnam,Power,GasCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2025,60,11400,0.55
VN_NZE_STRESS,target,Vietnam,Power,GasCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2026,59.7,12642,0.53
VN_NZE_STRESS,target,Vietnam,Power,GasCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2027,59.4,15708,0.51
VN_NZE_STRESS,target,Vietnam,Power,GasCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2028,59.1,17848.8,0.49
VN_NZE_STRESS,target,Vietnam,Power,GasCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2029,58.8,19107.2,0.47
VN_NZE_STRESS,target,Vietnam,Power,GasCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2030,58.5,20587.5,0.45
VN_NZE_STRESS,target,Vietnam,Power,GasCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2031,58.2,22067.8,0.43000000000000005
VN_NZE_STRESS,target,Vietnam,Power,GasCap,carbontech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2032,57.900000000000006,23548.1,0.4100000000000001
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2025,56,12852,0.45
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2026,56.2,12734.8,0.45
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2027,56.4,12627,0.45
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2028,56.6,12644.5,0.45
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2029,56.8,12660,0.45
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2030,57,12733,0.45
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2031,57.2,12806,0.45
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2032,57.400000000000006,12879,0.45
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2025,52,4321.8,0.3
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2026,52.8,5226,0.31
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2027,53.6,6247.2,0.32
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2028,54.4,7401.6,0.33
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2029,55.2,8565,0.34
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2030,56,9672,0.35
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2031,56.8,10779,0.35999999999999993
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,greentech,USD/MWh-equivalent,MW,NA,synthetic_vietnam_demo,2032,57.599999999999994,11886,0.3699999999999999
