model,scenario,scenario_geography,variable,unit,year,carbon_tax
synthetic_vietnam_demo,steel_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2025,10
synthetic_vietnam_demo,steel_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2026,16
synthetic_vietnam_demo,steel_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2027,24
synthetic_vietnam_demo,steel_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2028,33
synthetic_vietnam_demo,steel_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2029,42
synthetic_vietnam_demo,steel_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2030,52
synthetic_vietnam_demo,steel_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2031,62
synthetic_vietnam_demo,steel_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2032,72
synthetic_vietnam_demo,steel_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2025,6
synthetic_vietnam_demo,steel_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2026,9.6
synthetic_vietnam_demo,steel_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2027,14.4
synthetic_vietnam_demo,steel_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2028,19.8
synthetic_vietnam_demo,steel_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2029,25.2
synthetic_vietnam_demo,steel_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2030,31.2
synthetic_vietnam_demo,steel_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2031,37.2
synthetic_vietnam_demo,steel_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2032,43.2
synthetic_vietnam_demo,steel_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2025,3
synthetic_vietnam_demo,steel_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2026,4.8
synthetic_vietnam_demo,steel_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2027,7.2
synthetic_vietnam_demo,steel_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2028,9.9
synthetic_vietnam_demo,steel_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2029,12.6
synthetic_vietnam_demo,steel_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2030,15.6
synthetic_vietnam_demo,steel_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2031,18.6
synthetic_vietnam_demo,steel_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2032,21.6
