name_abcd,sector,exposure_vnd,alignment_gap,npv_change,pd_change,trisk_priority_score,trisk_status,composite_score,composite_partial,norm_alignment,norm_trisk_priority,alignment_basis,data_source
Nghi Son Power LLC,power,1030000000000,25.821596244131456,-0.980411177362964,0.21878983510366323,100,Covered — TRISK power pilot,1,FALSE,1,1,Borrower-level PACTA market-share gap,sdb-rehearsal
Vinacomin Power JSC,power,910000000000,25.821596244131456,-0.9803850736397988,0.21496139733235503,99.66185204928983,Covered — TRISK power pilot,0.9983092597501309,FALSE,1,0.9966185195002617,Borrower-level PACTA market-share gap,sdb-rehearsal
International Power Mong Duong,power,620000000000,25.821596244131456,-0.980411177362964,0.2098651127799712,99.21584168877004,Covered — TRISK power pilot,0.9960792072928979,FALSE,1,0.9921584145857959,Borrower-level PACTA market-share gap,sdb-rehearsal
Ford Motor Company,automotive,250000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.8500512574921991,TRUE,0.8500512574921991,NA,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
Hyundai Motor Company,automotive,200000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.8500512574921991,TRUE,0.8500512574921991,NA,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
THACO Industries,automotive,450000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.8500512574921991,TRUE,0.8500512574921991,NA,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
Honda Motor Co Ltd,automotive,180000000000,20,NA,NA,NA,N/A - sector not in TRISK pilot,0.7745454545454545,TRUE,0.7745454545454545,NA,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
Hoa Phat Group JSC,steel,900000000000,7.2,-0.5526472906995419,0.11703441427773756,95,Covered — TRISK steel pilot,0.6144181744794068,FALSE,0.27883636363636366,0.9499999853224501,"Sector-level SDA gap (steel, 2030)",sdb-rehearsal
Toyota Motor Corporation,automotive,300000000000,15.291968217965161,NA,NA,NA,N/A - sector not in TRISK pilot,0.5922162237139235,TRUE,0.5922162237139235,NA,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
EVN (Electricity of Vietnam),power,420000000000,11.413748603275389,-0.6331509586411646,0.1380046550648114,63.80771905714331,Covered — TRISK power pilot,0.5400502196641026,FALSE,0.4420233549995741,0.638077084328631,Borrower-level PACTA market-share gap,sdb-rehearsal
VICEM,cement,530000000000,2.1,-0.3476733179772608,0.06538552319362756,95,Covered — TRISK cement pilot,0.5156636290248614,FALSE,0.08132727272727273,0.9499999853224501,"Sector-level SDA gap (cement, 2030)",sdb-rehearsal
Dung Quat LNG Power Consortium,power,800000000000,15.089163237311384,-0.3748844535418372,0.06740230032129979,41.53942752974244,Covered — TRISK power pilot,0.49987812180176283,FALSE,0.5843621399176954,0.41539410368583024,Borrower-level PACTA market-share gap,sdb-rehearsal
Vietnam Hydropower JSC,power,280000000000,21.935483870967744,8.702824577690455e-4,-8.38896922996657e-5,12.817321007943344,Covered — TRISK power pilot,0.48883721021473436,FALSE,0.8495014662756599,0.12817295415380883,Borrower-level PACTA market-share gap,sdb-rehearsal
Vingroup JSC,automotive,600000000000,8.571428571428566,NA,NA,NA,N/A - sector not in TRISK pilot,0.3319480519480517,TRUE,0.3319480519480517,NA,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
Gia Lai Electricity JSC,power,75000000000,13.548387096774196,0.05334588325915412,-0.00871322611367375,5.257680841037032,Covered — TRISK power pilot,0.2886343062023918,FALSE,0.524692082111437,0.052576530293346545,Borrower-level PACTA market-share gap,sdb-rehearsal
PVN Power Corporation,power,NA,0,-0.4063852423681627,0.08241071591401372,39.14754941630707,Covered — TRISK power pilot,0.19573765776504723,FALSE,0,0.39147531553009446,No alignment context available,sdb-rehearsal
Pomina Group,steel,400000000000,7.2,0.16793033227739623,-0.02242575859043105,5,Covered — TRISK steel pilot,0.1644180423814576,FALSE,0.27883636363636366,0.049999721126551544,"Sector-level SDA gap (steel, 2030)",sdb-rehearsal
Holcim Group,cement,280000000000,2.1,-0.31836790533012965,0.03790632681809358,5,Covered — TRISK cement pilot,0.06566349692691215,FALSE,0.08132727272727273,0.049999721126551544,"Sector-level SDA gap (cement, 2030)",sdb-rehearsal
Xuan Thien Group,power,NA,0,0.05334563929748404,-0.00797566659462645,0.07558118066010987,Covered — TRISK power pilot,3.777592387360187e-4,FALSE,0,7.555184774720374e-4,No alignment context available,sdb-rehearsal
Trung Nam Group,power,NA,0,0.05334335093819589,-0.00817672466400343,0.05807044744568689,Covered — TRISK power pilot,2.902055469624377e-4,FALSE,0,5.804110939248754e-4,No alignment context available,sdb-rehearsal
Thanh Thanh Cong Group,power,NA,0,0.05334555145345382,-0.00851347348799957,0.02833347443627764,Covered — TRISK power pilot,1.4152063826880094e-4,FALSE,0,2.830412765376019e-4,No alignment context available,sdb-rehearsal
BIM Group,power,NA,0,0.05334519324487432,-0.00879398735995196,0.00371076911381359,Covered — TRISK power pilot,1.8407075516382046e-5,FALSE,0,3.681415103276409e-5,No alignment context available,sdb-rehearsal
T&T Group,power,NA,0,0.05334544974439964,-0.00883568887231814,2.9355091219942244e-5,Covered — TRISK power pilot,0,FALSE,0,0,No alignment context available,sdb-rehearsal
