"name_abcd","sector","year","financed_emissions_tco2e","carbon_price_usd_per_tco2","fx_rate_usd_vnd","carbon_cost_vnd"
"EVN (Electricity of Vietnam)","power",2025,40201122.4615385,0,26300,0
"EVN (Electricity of Vietnam)","power",2026,40201122.4615385,0,26300,0
"EVN (Electricity of Vietnam)","power",2027,40201122.4615385,0,26300,0
"EVN (Electricity of Vietnam)","power",2028,40201122.4615385,50,26300,52864476036923.1
"EVN (Electricity of Vietnam)","power",2029,40201122.4615385,52,26300,54979055078400
"EVN (Electricity of Vietnam)","power",2030,40201122.4615385,54.08,26300,57178217281536
"Vinacomin Power JSC","power",2025,8427119.99999935,0,26300,0
"Vinacomin Power JSC","power",2026,8427119.99999935,0,26300,0
"Vinacomin Power JSC","power",2027,8427119.99999935,0,26300,0
"Vinacomin Power JSC","power",2028,8427119.99999935,50,26300,11081662799999.1
"Vinacomin Power JSC","power",2029,8427119.99999935,52,26300,11524929311999.1
"Vinacomin Power JSC","power",2030,8427119.99999935,54.08,26300,11985926484479.1
"International Power Mong Duong","power",2025,4229534.11764866,0,26300,0
"International Power Mong Duong","power",2026,4229534.11764866,0,26300,0
"International Power Mong Duong","power",2027,4229534.11764866,0,26300,0
"International Power Mong Duong","power",2028,4229534.11764866,50,26300,5561837364707.99
"International Power Mong Duong","power",2029,4229534.11764866,52,26300,5784310859296.31
"International Power Mong Duong","power",2030,4229534.11764866,54.08,26300,6015683293668.17
"PVN Power Corporation","power",2025,5692569.79591823,0,26300,0
"PVN Power Corporation","power",2026,5692569.79591823,0,26300,0
"PVN Power Corporation","power",2027,5692569.79591823,0,26300,0
"PVN Power Corporation","power",2028,5692569.79591823,50,26300,7485729281632.47
"PVN Power Corporation","power",2029,5692569.79591823,52,26300,7785158452897.77
"PVN Power Corporation","power",2030,5692569.79591823,54.08,26300,8096564791013.68
"Nghi Son Power LLC","power",2025,4176130.90908956,0,26300,0
"Nghi Son Power LLC","power",2026,4176130.90908956,0,26300,0
"Nghi Son Power LLC","power",2027,4176130.90908956,0,26300,0
"Nghi Son Power LLC","power",2028,4176130.90908956,50,26300,5491612145452.77
"Nghi Son Power LLC","power",2029,4176130.90908956,52,26300,5711276631270.88
"Nghi Son Power LLC","power",2030,4176130.90908956,54.08,26300,5939727696521.71
"Dung Quat LNG Power Consortium","power",2025,427261.935483668,0,26300,0
"Dung Quat LNG Power Consortium","power",2026,427261.935483668,0,26300,0
"Dung Quat LNG Power Consortium","power",2027,427261.935483668,0,26300,0
"Dung Quat LNG Power Consortium","power",2028,427261.935483668,50,26300,561849445161.024
"Dung Quat LNG Power Consortium","power",2029,427261.935483668,52,26300,584323422967.465
"Dung Quat LNG Power Consortium","power",2030,427261.935483668,54.08,26300,607696359886.163
"Vietnam Hydropower JSC","power",2025,91741.0909090739,0,26300,0
"Vietnam Hydropower JSC","power",2026,91741.0909090739,0,26300,0
"Vietnam Hydropower JSC","power",2027,91741.0909090739,0,26300,0
"Vietnam Hydropower JSC","power",2028,91741.0909090739,50,26300,120639534545.432
"Vietnam Hydropower JSC","power",2029,91741.0909090739,52,26300,125465115927.249
"Vietnam Hydropower JSC","power",2030,91741.0909090739,54.08,26300,130483720564.339
"Trung Nam Group","power",2025,45990,0,26300,0
"Trung Nam Group","power",2026,45990,0,26300,0
"Trung Nam Group","power",2027,45990,0,26300,0
"Trung Nam Group","power",2028,45990,50,26300,60476850000
"Trung Nam Group","power",2029,45990,52,26300,62895924000
"Trung Nam Group","power",2030,45990,54.08,26300,65411760960
"BIM Group","power",2025,15719.3333333257,0,26300,0
"BIM Group","power",2026,15719.3333333257,0,26300,0
"BIM Group","power",2027,15719.3333333257,0,26300,0
"BIM Group","power",2028,15719.3333333257,50,26300,20670923333.3233
"BIM Group","power",2029,15719.3333333257,52,26300,21497760266.6562
"BIM Group","power",2030,15719.3333333257,54.08,26300,22357670677.3224
"Thanh Thanh Cong Group","power",2025,22176.6315789496,0,26300,0
"Thanh Thanh Cong Group","power",2026,22176.6315789496,0,26300,0
"Thanh Thanh Cong Group","power",2027,22176.6315789496,0,26300,0
"Thanh Thanh Cong Group","power",2028,22176.6315789496,50,26300,29162270526.3187
"Thanh Thanh Cong Group","power",2029,22176.6315789496,52,26300,30328761347.3715
"Thanh Thanh Cong Group","power",2030,22176.6315789496,54.08,26300,31541911801.2664
"Xuan Thien Group","power",2025,28703.360655729,0,26300,0
"Xuan Thien Group","power",2026,28703.360655729,0,26300,0
"Xuan Thien Group","power",2027,28703.360655729,0,26300,0
"Xuan Thien Group","power",2028,28703.360655729,50,26300,37744919262.2837
"Xuan Thien Group","power",2029,28703.360655729,52,26300,39254716032.775
"Xuan Thien Group","power",2030,28703.360655729,54.08,26300,40824904674.086
"T&T Group","power",2025,19635.6226415118,0,26300,0
"T&T Group","power",2026,19635.6226415118,0,26300,0
"T&T Group","power",2027,19635.6226415118,0,26300,0
"T&T Group","power",2028,19635.6226415118,50,26300,25820843773.588
"T&T Group","power",2029,19635.6226415118,52,26300,26853677524.5315
"T&T Group","power",2030,19635.6226415118,54.08,26300,27927824625.5127
"Gia Lai Electricity JSC","power",2025,14633.1818181818,0,26300,0
"Gia Lai Electricity JSC","power",2026,14633.1818181818,0,26300,0
"Gia Lai Electricity JSC","power",2027,14633.1818181818,0,26300,0
"Gia Lai Electricity JSC","power",2028,14633.1818181818,50,26300,19242634090.9091
"Gia Lai Electricity JSC","power",2029,14633.1818181818,52,26300,20012339454.5455
"Gia Lai Electricity JSC","power",2030,14633.1818181818,54.08,26300,20812833032.7273
