company_id,company_name,asset_id,asset_name,country_iso2,sector,technology,capacity_factor,emission_factor,production_unit,technology_type,production_year,capacity,baseline_note
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2025,EVN (Electricity of Vietnam) :: CoalCap :: 2025,VN,Power,CoalCap,0.7,0.95,MW,carbontech,2025,17857.14285714286,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2026,EVN (Electricity of Vietnam) :: CoalCap :: 2026,VN,Power,CoalCap,0.7,0.95,MW,carbontech,2026,17857.14285714286,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2027,EVN (Electricity of Vietnam) :: CoalCap :: 2027,VN,Power,CoalCap,0.7,0.95,MW,carbontech,2027,17142.857142857145,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2028,EVN (Electricity of Vietnam) :: CoalCap :: 2028,VN,Power,CoalCap,0.7,0.95,MW,carbontech,2028,16857.14285714286,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2029,EVN (Electricity of Vietnam) :: CoalCap :: 2029,VN,Power,CoalCap,0.7,0.95,MW,carbontech,2029,16428.57142857143,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2030,EVN (Electricity of Vietnam) :: CoalCap :: 2030,VN,Power,CoalCap,0.7,0.95,MW,carbontech,2030,15714.285714285716,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2025,EVN (Electricity of Vietnam) :: GasCap :: 2025,VN,Power,GasCap,0.55,0.45,MW,carbontech,2025,2727.272727272727,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2026,EVN (Electricity of Vietnam) :: GasCap :: 2026,VN,Power,GasCap,0.55,0.45,MW,carbontech,2026,2763.6363636363635,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2027,EVN (Electricity of Vietnam) :: GasCap :: 2027,VN,Power,GasCap,0.55,0.45,MW,carbontech,2027,2800,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2028,EVN (Electricity of Vietnam) :: GasCap :: 2028,VN,Power,GasCap,0.55,0.45,MW,carbontech,2028,2836.363636363636,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2029,EVN (Electricity of Vietnam) :: GasCap :: 2029,VN,Power,GasCap,0.55,0.45,MW,carbontech,2029,2872.7272727272725,NA
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2030,EVN (Electricity of Vietnam) :: GasCap :: 2030,VN,Power,GasCap,0.55,0.45,MW,carbontech,2030,2909.090909090909,NA
