company_id,company_name,asset_id,asset_name,country_iso2,production_year,sector,technology,capacity,capacity_factor,emission_factor,production_unit,technology_type
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2025,EVN (Electricity of Vietnam) :: CoalCap :: 2025,VN,2025,Power,CoalCap,17857.14285714286,0.7,0.95,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2026,EVN (Electricity of Vietnam) :: CoalCap :: 2026,VN,2026,Power,CoalCap,17857.14285714286,0.7,0.95,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2027,EVN (Electricity of Vietnam) :: CoalCap :: 2027,VN,2027,Power,CoalCap,17142.857142857145,0.7,0.95,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2028,EVN (Electricity of Vietnam) :: CoalCap :: 2028,VN,2028,Power,CoalCap,16857.14285714286,0.7,0.95,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2029,EVN (Electricity of Vietnam) :: CoalCap :: 2029,VN,2029,Power,CoalCap,16428.57142857143,0.7,0.95,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_CoalCap_2030,EVN (Electricity of Vietnam) :: CoalCap :: 2030,VN,2030,Power,CoalCap,15714.285714285716,0.7,0.95,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2025,EVN (Electricity of Vietnam) :: GasCap :: 2025,VN,2025,Power,GasCap,2727.272727272727,0.55,0.45,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2026,EVN (Electricity of Vietnam) :: GasCap :: 2026,VN,2026,Power,GasCap,2763.6363636363635,0.55,0.45,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2027,EVN (Electricity of Vietnam) :: GasCap :: 2027,VN,2027,Power,GasCap,2800,0.55,0.45,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2028,EVN (Electricity of Vietnam) :: GasCap :: 2028,VN,2028,Power,GasCap,2836.363636363636,0.55,0.45,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2029,EVN (Electricity of Vietnam) :: GasCap :: 2029,VN,2029,Power,GasCap,2872.7272727272725,0.55,0.45,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_GasCap_2030,EVN (Electricity of Vietnam) :: GasCap :: 2030,VN,2030,Power,GasCap,2909.090909090909,0.55,0.45,MW,carbontech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_HydroCap_2025,EVN (Electricity of Vietnam) :: HydroCap :: 2025,VN,2025,Power,HydroCap,17333.333333333332,0.45,0.02,MW,greentech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_HydroCap_2026,EVN (Electricity of Vietnam) :: HydroCap :: 2026,VN,2026,Power,HydroCap,17444.444444444445,0.45,0.02,MW,greentech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_HydroCap_2027,EVN (Electricity of Vietnam) :: HydroCap :: 2027,VN,2027,Power,HydroCap,17555.555555555555,0.45,0.02,MW,greentech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_HydroCap_2028,EVN (Electricity of Vietnam) :: HydroCap :: 2028,VN,2028,Power,HydroCap,17666.666666666668,0.45,0.02,MW,greentech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_HydroCap_2029,EVN (Electricity of Vietnam) :: HydroCap :: 2029,VN,2029,Power,HydroCap,17777.777777777777,0.45,0.02,MW,greentech
VN_ABCD_001,EVN (Electricity of Vietnam),VN_ABCD_001_HydroCap_2030,EVN (Electricity of Vietnam) :: HydroCap :: 2030,VN,2030,Power,HydroCap,18000,0.45,0.02,MW,greentech
VN_ABCD_002,Vinacomin Power JSC,VN_ABCD_002_CoalCap_2025,Vinacomin Power JSC :: CoalCap :: 2025,VN,2025,Power,CoalCap,3714.2857142857147,0.7,0.95,MW,carbontech
VN_ABCD_002,Vinacomin Power JSC,VN_ABCD_002_CoalCap_2026,Vinacomin Power JSC :: CoalCap :: 2026,VN,2026,Power,CoalCap,3685.714285714286,0.7,0.95,MW,carbontech
VN_ABCD_002,Vinacomin Power JSC,VN_ABCD_002_CoalCap_2027,Vinacomin Power JSC :: CoalCap :: 2027,VN,2027,Power,CoalCap,3642.857142857143,0.7,0.95,MW,carbontech
VN_ABCD_002,Vinacomin Power JSC,VN_ABCD_002_CoalCap_2028,Vinacomin Power JSC :: CoalCap :: 2028,VN,2028,Power,CoalCap,3571.4285714285716,0.7,0.95,MW,carbontech
VN_ABCD_002,Vinacomin Power JSC,VN_ABCD_002_CoalCap_2029,Vinacomin Power JSC :: CoalCap :: 2029,VN,2029,Power,CoalCap,3514.2857142857147,0.7,0.95,MW,carbontech
VN_ABCD_002,Vinacomin Power JSC,VN_ABCD_002_CoalCap_2030,Vinacomin Power JSC :: CoalCap :: 2030,VN,2030,Power,CoalCap,3428.571428571429,0.7,0.95,MW,carbontech
VN_ABCD_003,International Power Mong Duong,VN_ABCD_003_CoalCap_2025,International Power Mong Duong :: CoalCap :: 2025,VN,2025,Power,CoalCap,1714.2857142857144,0.7,0.95,MW,carbontech
VN_ABCD_003,International Power Mong Duong,VN_ABCD_003_CoalCap_2026,International Power Mong Duong :: CoalCap :: 2026,VN,2026,Power,CoalCap,1714.2857142857144,0.7,0.95,MW,carbontech
VN_ABCD_003,International Power Mong Duong,VN_ABCD_003_CoalCap_2027,International Power Mong Duong :: CoalCap :: 2027,VN,2027,Power,CoalCap,1714.2857142857144,0.7,0.95,MW,carbontech
VN_ABCD_003,International Power Mong Duong,VN_ABCD_003_CoalCap_2028,International Power Mong Duong :: CoalCap :: 2028,VN,2028,Power,CoalCap,1714.2857142857144,0.7,0.95,MW,carbontech
VN_ABCD_003,International Power Mong Duong,VN_ABCD_003_CoalCap_2029,International Power Mong Duong :: CoalCap :: 2029,VN,2029,Power,CoalCap,1714.2857142857144,0.7,0.95,MW,carbontech
VN_ABCD_003,International Power Mong Duong,VN_ABCD_003_CoalCap_2030,International Power Mong Duong :: CoalCap :: 2030,VN,2030,Power,CoalCap,1714.2857142857144,0.7,0.95,MW,carbontech
VN_ABCD_004,PVN Power Corporation,VN_ABCD_004_CoalCap_2025,PVN Power Corporation :: CoalCap :: 2025,VN,2025,Power,CoalCap,857.1428571428572,0.7,0.95,MW,carbontech
VN_ABCD_004,PVN Power Corporation,VN_ABCD_004_CoalCap_2026,PVN Power Corporation :: CoalCap :: 2026,VN,2026,Power,CoalCap,857.1428571428572,0.7,0.95,MW,carbontech
VN_ABCD_004,PVN Power Corporation,VN_ABCD_004_CoalCap_2027,PVN Power Corporation :: CoalCap :: 2027,VN,2027,Power,CoalCap,857.1428571428572,0.7,0.95,MW,carbontech
VN_ABCD_004,PVN Power Corporation,VN_ABCD_004_CoalCap_2028,PVN Power Corporation :: CoalCap :: 2028,VN,2028,Power,CoalCap,857.1428571428572,0.7,0.95,MW,carbontech
VN_ABCD_004,PVN Power Corporation,VN_ABCD_004_CoalCap_2029,PVN Power Corporation :: CoalCap :: 2029,VN,2029,Power,CoalCap,857.1428571428572,0.7,0.95,MW,carbontech
