company_id,company_name,asset_id,asset_name,country_iso2,sector,technology,capacity_factor,emission_factor,production_unit,technology_type,production_year,capacity,baseline_note
VN_ABCD_022,Hoa Phat Group JSC,VN_ABCD_022_OpenHearth_2025,Hoa Phat Group JSC :: OpenHearth :: 2025,VN,Steel,OpenHearth,1,1.85,tonnes,carbontech,2025,7500000,NA
VN_ABCD_022,Hoa Phat Group JSC,VN_ABCD_022_OpenHearth_2026,Hoa Phat Group JSC :: OpenHearth :: 2026,VN,Steel,OpenHearth,1,1.84,tonnes,carbontech,2026,7700000,NA
VN_ABCD_022,Hoa Phat Group JSC,VN_ABCD_022_OpenHearth_2027,Hoa Phat Group JSC :: OpenHearth :: 2027,VN,Steel,OpenHearth,1,1.83,tonnes,carbontech,2027,7900000,NA
VN_ABCD_022,Hoa Phat Group JSC,VN_ABCD_022_OpenHearth_2028,Hoa Phat Group JSC :: OpenHearth :: 2028,VN,Steel,OpenHearth,1,1.82,tonnes,carbontech,2028,8100000,NA
VN_ABCD_022,Hoa Phat Group JSC,VN_ABCD_022_OpenHearth_2029,Hoa Phat Group JSC :: OpenHearth :: 2029,VN,Steel,OpenHearth,1,1.81,tonnes,carbontech,2029,8300000,NA
VN_ABCD_022,Hoa Phat Group JSC,VN_ABCD_022_OpenHearth_2030,Hoa Phat Group JSC :: OpenHearth :: 2030,VN,Steel,OpenHearth,1,1.8,tonnes,carbontech,2030,8500000,NA
VN_ABCD_023,Pomina Group,VN_ABCD_023_ElectricArc_2025,Pomina Group :: ElectricArc :: 2025,VN,Steel,ElectricArc,1,0.58,tonnes,greentech,2025,1200000,NA
VN_ABCD_023,Pomina Group,VN_ABCD_023_ElectricArc_2026,Pomina Group :: ElectricArc :: 2026,VN,Steel,ElectricArc,1,0.566,tonnes,greentech,2026,1260000,NA
VN_ABCD_023,Pomina Group,VN_ABCD_023_ElectricArc_2027,Pomina Group :: ElectricArc :: 2027,VN,Steel,ElectricArc,1,0.554,tonnes,greentech,2027,1320000,NA
VN_ABCD_023,Pomina Group,VN_ABCD_023_ElectricArc_2028,Pomina Group :: ElectricArc :: 2028,VN,Steel,ElectricArc,1,0.541,tonnes,greentech,2028,1380000,NA
VN_ABCD_023,Pomina Group,VN_ABCD_023_ElectricArc_2029,Pomina Group :: ElectricArc :: 2029,VN,Steel,ElectricArc,1,0.529,tonnes,greentech,2029,1440000,NA
VN_ABCD_023,Pomina Group,VN_ABCD_023_ElectricArc_2030,Pomina Group :: ElectricArc :: 2030,VN,Steel,ElectricArc,1,0.517,tonnes,greentech,2030,1500000,NA
