sector,technology,year,region,scenario_source,name_abcd,metric,production,technology_share,scope,percentage_of_initial_production_by_scope
automotive,electric,2020,global,demo_2020,Bahr,projected,0,0,sector,0
automotive,electric,2020,global,demo_2020,Bahr,target_cps,0,0,sector,0
automotive,electric,2020,global,demo_2020,Bahr,target_sds,0,0,sector,0
automotive,electric,2020,global,demo_2020,Bahr,target_sps,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Beier, Beier and Beier",projected,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Beier, Beier and Beier",target_cps,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Beier, Beier and Beier",target_sds,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Beier, Beier and Beier",target_sps,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Bellini, Bellini e Bellini SPA",projected,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Bellini, Bellini e Bellini SPA",target_cps,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Bellini, Bellini e Bellini SPA",target_sds,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Bellini, Bellini e Bellini SPA",target_sps,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Bernardi, Bernardi e Bernardi SPA",projected,324591.6516,0.07591263957026606,sector,0
automotive,electric,2020,global,demo_2020,"Bernardi, Bernardi e Bernardi SPA",target_cps,324591.6516,0.07591263957026606,sector,0
automotive,electric,2020,global,demo_2020,"Bernardi, Bernardi e Bernardi SPA",target_sds,324591.6516,0.07591263957026606,sector,0
automotive,electric,2020,global,demo_2020,"Bernardi, Bernardi e Bernardi SPA",target_sps,324591.6516,0.07591263957026606,sector,0
automotive,electric,2020,global,demo_2020,Beyer,projected,0,0,sector,0
automotive,electric,2020,global,demo_2020,Beyer,target_cps,0,0,sector,0
automotive,electric,2020,global,demo_2020,Beyer,target_sds,0,0,sector,0
automotive,electric,2020,global,demo_2020,Beyer,target_sps,0,0,sector,0
automotive,electric,2020,global,demo_2020,Caruso-Caruso e figli,projected,0,0,sector,0
automotive,electric,2020,global,demo_2020,Caruso-Caruso e figli,target_cps,0,0,sector,0
automotive,electric,2020,global,demo_2020,Caruso-Caruso e figli,target_sds,0,0,sector,0
automotive,electric,2020,global,demo_2020,Caruso-Caruso e figli,target_sps,0,0,sector,0
automotive,electric,2020,global,demo_2020,Christiansen PLC,projected,512438.4852,0.13013161374818777,sector,0
automotive,electric,2020,global,demo_2020,Christiansen PLC,target_cps,512438.4852,0.13013161374818777,sector,0
automotive,electric,2020,global,demo_2020,Christiansen PLC,target_sds,512438.4852,0.13013161374818777,sector,0
automotive,electric,2020,global,demo_2020,Christiansen PLC,target_sps,512438.4852,0.13013161374818777,sector,0
automotive,electric,2020,global,demo_2020,"Costa, Costa e Costa s.r.l.",projected,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Costa, Costa e Costa s.r.l.",target_cps,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Costa, Costa e Costa s.r.l.",target_sds,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Costa, Costa e Costa s.r.l.",target_sps,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Donati, Donati e Donati s.r.l.",projected,277214.425,1,sector,0
automotive,electric,2020,global,demo_2020,"Donati, Donati e Donati s.r.l.",target_cps,277214.425,1,sector,0
automotive,electric,2020,global,demo_2020,"Donati, Donati e Donati s.r.l.",target_sds,277214.425,1,sector,0
automotive,electric,2020,global,demo_2020,"Donati, Donati e Donati s.r.l.",target_sps,277214.425,1,sector,0
automotive,electric,2020,global,demo_2020,DuBuque-DuBuque,projected,282784.4427,1,sector,0
automotive,electric,2020,global,demo_2020,DuBuque-DuBuque,target_cps,282784.4427,1,sector,0
automotive,electric,2020,global,demo_2020,DuBuque-DuBuque,target_sds,282784.4427,1,sector,0
automotive,electric,2020,global,demo_2020,DuBuque-DuBuque,target_sps,282784.4427,1,sector,0
automotive,electric,2020,global,demo_2020,Esposito e figli,projected,0,0,sector,0
automotive,electric,2020,global,demo_2020,Esposito e figli,target_cps,0,0,sector,0
automotive,electric,2020,global,demo_2020,Esposito e figli,target_sds,0,0,sector,0
automotive,electric,2020,global,demo_2020,Esposito e figli,target_sps,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Esposito, Esposito e Esposito Group",projected,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Esposito, Esposito e Esposito Group",target_cps,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Esposito, Esposito e Esposito Group",target_sds,0,0,sector,0
automotive,electric,2020,global,demo_2020,"Esposito, Esposito e Esposito Group",target_sps,0,0,sector,0
automotive,electric,2020,global,demo_2020,Ferrari-Ferrari SPA,projected,385553.2169,0.08057037960206391,sector,0
automotive,electric,2020,global,demo_2020,Ferrari-Ferrari SPA,target_cps,385553.2169,0.08057037960206391,sector,0
automotive,electric,2020,global,demo_2020,Ferrari-Ferrari SPA,target_sds,385553.2169,0.08057037960206391,sector,0
automotive,electric,2020,global,demo_2020,Ferrari-Ferrari SPA,target_sps,385553.2169,0.08057037960206391,sector,0
automotive,electric,2020,global,demo_2020,Ferry and Sons,projected,296344.7261,0.10054168286381093,sector,0
