run_id,company_id,company_name,sector,term,pd_baseline,pd_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_020,VICEM,Cement,1,0.03862219161426139,0.09936265565607694,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_020,VICEM,Cement,2,0.10511649909064336,0.18080454305107252,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_020,VICEM,Cement,3,0.15247036541869297,0.22729665595621773,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_020,VICEM,Cement,4,0.18647752185268684,0.25781515856220893,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_020,VICEM,Cement,5,0.2121082254992821,0.27971126439086613,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_021,Holcim Group,Cement,1,5.9603589684043e-5,0.0012508950693359555,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_021,Holcim Group,Cement,2,0.0028440112901378933,0.014549402857710558,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_021,Holcim Group,Cement,3,0.010891671578231454,0.034530039275042945,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_021,Holcim Group,Cement,4,0.021784304854726155,0.05414744458296883,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
dca90003-06c9-44d2-b3c5-8ad8ccd3c775,VN_ABCD_021,Holcim Group,Cement,5,0.03338076603531859,0.07152977619650114,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2026,0.25
