run_id,company_id,company_name,sector,term,pd_baseline,pd_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_020,VICEM,Cement,1,0.0386221916142615,0.11425181805364337,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_020,VICEM,Cement,2,0.10511649909064336,0.19626191436573326,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_020,VICEM,Cement,3,0.15247036541869297,0.2416416408635086,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_020,VICEM,Cement,4,0.18647752185268684,0.27105969777221106,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_020,VICEM,Cement,5,0.2121082254992821,0.2920214490146652,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_021,Holcim Group,Cement,1,5.9603589684043e-5,0.0023634852966044617,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_021,Holcim Group,Cement,2,0.0028440112901378933,0.020570695458988042,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_021,Holcim Group,Cement,3,0.010891671578231454,0.04422027610250001,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_021,Holcim Group,Cement,4,0.021784304854726155,0.06592082764872376,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
b5d987e9-2173-4af3-8c01-d01b6ab5b85c,VN_ABCD_021,Holcim Group,Cement,5,0.03338076603531859,0.08442304615657958,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.03,0.08,0.02,1,2029,0.25
