run_id,asset_id,asset_name,company_id,company_name,country_iso2,sector,technology,year,production_plan_company_technology,production_baseline_scenario,production_target_scenario,production_shock_scenario,pd,net_profit_margin,debt_equity_ratio,volatility,scenario_price_baseline,price_shock_scenario,net_profits_baseline_scenario,net_profits_shock_scenario,discounted_net_profits_baseline_scenario,discounted_net_profits_shock_scenario,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2025,76650000,76650000,76650000,76650000,0.012,0.085,1.6,0.22,68,68,443037000.00000006,443037000.00000006,443037000.00000006,443037000.00000006,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2026,73912500,73912500,64424234.254143655,73912500,0.012,0.085,1.6,0.22,68.4,68.4,429727275.00000006,429727275.00000006,405403089.62264156,405403089.62264156,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2027,68328000,68328000,50739910.359116025,68328000,0.012,0.085,1.6,0.22,68.8,68.8,399582144,399582144,355626685.6532573,355626685.6532573,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2028,64605000,64605000,38514961.32596685,43924040.51104973,0.012,0.085,1.6,0.22,69.2,69.2,380006610,125353721.11347207,319060877.4357355,105249401.44672453,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2029,60444000.00000001,60444000.00000001,28072266.961325966,19520081.022099458,0.012,0.085,1.6,0.22,69.6,64.6,357586704,43252205.127147526,283242162.2965697,34259797.60228457,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2030,55406999.99999999,55406999.99999999,19049370.165745854,0,0.012,0.085,1.6,0.22,70,60,329671650,0,246349834.82473823,0,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2031,NA,NA,NA,NA,0.012,0.085,1.6,0.22,NA,NA,336265083,0,8406627075.000001,0,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2025,7227000.000000001,7227000.000000001,7227000.000000001,7227000.000000001,0.012,0.085,1.6,0.22,60,60,36857700.00000001,36857700.00000001,36857700.00000001,36857700.00000001,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2026,7456512,7456512,7722931.263157895,7456512,0.012,0.085,1.6,0.22,60.6,60.6,38408493.312,38408493.312,36234427.65283018,36234427.65283018,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
084f344a-e97d-446e-adaa-062305c2003e,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2027,7689528.000000001,7689528.000000001,9233823.789473685,7689528.000000001,0.012,0.085,1.6,0.22,61.2,61.2,40000924.65600001,40000924.65600001,35600680.54111784,35600680.54111784,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.06,0.02,1,2028,0.25
