name_abcd,sector,exposure_vnd,alignment_gap,npv_change,pd_change,trisk_stress_rank_pct,trisk_status,composite_score,composite_partial,severity_alignment,severity_trisk,composite_rank_pct,alignment_basis,data_source
Nghi Son Power LLC,power,1030000000000,25.821596244131456,-0.980411177362964,0.21878983510366323,100,Covered — TRISK power pilot,0.9113849765,FALSE,0.8227699530516432,1,0.9565217391304348,Borrower-level PACTA market-share gap,sdb-rehearsal
Vinacomin Power JSC,power,910000000000,25.821596244131456,-0.9803850736397988,0.21496139733235503,99.66185204928983,Covered — TRISK power pilot,0.9113849765,FALSE,0.8227699530516432,1,0.9565217391304348,Borrower-level PACTA market-share gap,sdb-rehearsal
International Power Mong Duong,power,620000000000,25.821596244131456,-0.980411177362964,0.2098651127799712,99.21584168877004,Covered — TRISK power pilot,0.9113849765,FALSE,0.8227699530516432,1,0.9565217391304348,Borrower-level PACTA market-share gap,sdb-rehearsal
Hoa Phat Group JSC,steel,900000000000,7.2,-0.5526472906995419,0.11703441427773756,95,Covered — TRISK steel pilot,0.7852697045,FALSE,0.61,0.9605394089162849,0.8695652173913043,"Sector-level SDA gap (steel, 2030)",sdb-rehearsal
Ford Motor Company,automotive,250000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.7743710045,TRUE,0.7743710044722474,NA,0.782608695652174,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
Hyundai Motor Company,automotive,200000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.7743710045,TRUE,0.7743710044722474,NA,0.782608695652174,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
THACO Industries,automotive,450000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.7743710045,TRUE,0.7743710044722474,NA,0.782608695652174,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
EVN (Electricity of Vietnam),power,420000000000,11.413748603275389,-0.6331509586411646,0.1380046550648114,63.80771905714331,Covered — TRISK power pilot,0.7676718575,FALSE,0.5353437150818847,1,0.6956521739130435,Borrower-level PACTA market-share gap,sdb-rehearsal
Honda Motor Co Ltd,automotive,180000000000,20,NA,NA,NA,N/A - sector not in TRISK pilot,0.75,TRUE,0.75,NA,0.6521739130434783,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
Dung Quat LNG Power Consortium,power,800000000000,15.089163237311384,-0.3748844535418372,0.06740230032129979,41.53942752974244,Covered — TRISK power pilot,0.7198163961,FALSE,0.6272290809327846,0.8124037112848643,0.6086956521739131,Borrower-level PACTA market-share gap,sdb-rehearsal
Toyota Motor Corporation,automotive,300000000000,15.291968217965161,NA,NA,NA,N/A - sector not in TRISK pilot,0.6322992054,TRUE,0.632299205449129,NA,0.5652173913043478,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
VICEM,cement,530000000000,2.1,-0.3476733179772608,0.06538552319362756,95,Covered — TRISK cement pilot,0.5240305492,FALSE,0.25833333333333336,0.7897277649810507,0.5217391304347826,"Sector-level SDA gap (cement, 2030)",sdb-rehearsal
Holcim Group,cement,280000000000,2.1,-0.31836790533012965,0.03790632681809358,5,Covered — TRISK cement pilot,0.5118199606,FALSE,0.25833333333333336,0.7653065877751081,0.4782608695652174,"Sector-level SDA gap (cement, 2030)",sdb-rehearsal
Vingroup JSC,automotive,600000000000,8.571428571428566,NA,NA,NA,N/A - sector not in TRISK pilot,0.4285714286,TRUE,0.42857142857142827,NA,0.43478260869565216,"PACTA market-share gap (PDP8, 2030)",sdb-rehearsal
PVN Power Corporation,power,NA,0,-0.4063852423681627,0.08241071591401372,39.14754941630707,Covered — TRISK power pilot,0.4193271843,FALSE,0,0.8386543686401355,0.391304347826087,No alignment context available,sdb-rehearsal
Vietnam Hydropower JSC,power,280000000000,21.935483870967744,8.702824577690455e-4,-8.38896922996657e-5,12.817321007943344,Covered — TRISK power pilot,0.3870967742,FALSE,0.7741935483870968,0,0.34782608695652173,Borrower-level PACTA market-share gap,sdb-rehearsal
Pomina Group,steel,400000000000,7.2,0.16793033227739623,-0.02242575859043105,5,Covered — TRISK steel pilot,0.305,FALSE,0.61,0,0.30434782608695654,"Sector-level SDA gap (steel, 2030)",sdb-rehearsal
Gia Lai Electricity JSC,power,75000000000,13.548387096774196,0.05334588325915412,-0.00871322611367375,5.257680841037032,Covered — TRISK power pilot,0.2943548387,FALSE,0.5887096774193549,0,0.2608695652173913,Borrower-level PACTA market-share gap,sdb-rehearsal
Xuan Thien Group,power,NA,0,0.05334563929748404,-0.00797566659462645,0.07558118066010987,Covered — TRISK power pilot,0,FALSE,0,0,0.13043478260869565,No alignment context available,sdb-rehearsal
Trung Nam Group,power,NA,0,0.05334335093819589,-0.00817672466400343,0.05807044744568689,Covered — TRISK power pilot,0,FALSE,0,0,0.13043478260869565,No alignment context available,sdb-rehearsal
Thanh Thanh Cong Group,power,NA,0,0.05334555145345382,-0.00851347348799957,0.02833347443627764,Covered — TRISK power pilot,0,FALSE,0,0,0.13043478260869565,No alignment context available,sdb-rehearsal
BIM Group,power,NA,0,0.05334519324487432,-0.00879398735995196,0.00371076911381359,Covered — TRISK power pilot,0,FALSE,0,0,0.13043478260869565,No alignment context available,sdb-rehearsal
T&T Group,power,NA,0,0.05334544974439964,-0.00883568887231814,2.9355091219942244e-5,Covered — TRISK power pilot,0,FALSE,0,0,0.13043478260869565,No alignment context available,sdb-rehearsal
