run_id,company_id,asset_id,company_name,asset_name,sector,technology,country_iso2,net_present_value_baseline,net_present_value_shock,net_present_value_difference,net_present_value_change,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_CoalCap_2026,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: CoalCap :: 2026,Power,CoalCap,VN,5874675546.21751,41625312.166545264,-5833050234.050965,-0.9929144491744151,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_CoalCap_2027,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: CoalCap :: 2027,Power,CoalCap,VN,5967416072.726364,37843542.79686884,-5929572529.929495,-0.993658303303195,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_CoalCap_2028,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: CoalCap :: 2028,Power,CoalCap,VN,6052994498.490402,37212817.08358772,-6015781681.406815,-0.993852164066419,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_CoalCap_2029,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: CoalCap :: 2029,Power,CoalCap,VN,6123739354.194538,36266728.51366599,-6087472625.680872,-0.9940776825374149,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_CoalCap_2030,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: CoalCap :: 2030,Power,CoalCap,VN,6080196246.522652,34689914.23046311,-6045506332.292189,-0.9942946061567828,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_GasCap_2026,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: GasCap :: 2026,Power,GasCap,VN,1721376849.45063,1352961628.3895733,-368415221.0610566,-0.21402357140949976,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_GasCap_2027,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: GasCap :: 2027,Power,GasCap,VN,1508594966.0994601,1037092992.5682787,-471501973.53118145,-0.3125437802237077,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_GasCap_2028,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: GasCap :: 2028,Power,GasCap,VN,1282592697.5921726,750744215.2093592,-531848482.38281345,-0.41466670080163354,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_GasCap_2029,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: GasCap :: 2029,Power,GasCap,VN,1089447229.332097,565158753.415484,-524288475.9166131,-0.4812426538897497,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_GasCap_2030,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: GasCap :: 2030,Power,GasCap,VN,828456141.8403474,317158357.1338137,-511297784.70653373,-0.6171694056980828,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_HydroCap_2026,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: HydroCap :: 2026,Power,HydroCap,VN,2741084566.069871,2735316477.7351465,-5768088.334724426,-0.002104308785698878,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_HydroCap_2027,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: HydroCap :: 2027,Power,HydroCap,VN,2758692514.5080447,2752496655.7774224,-6195858.730622292,-0.002245940313405024,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_HydroCap_2028,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: HydroCap :: 2028,Power,HydroCap,VN,2775318256.03383,2770725703.018713,-4592553.015117168,-0.0016547842774905115,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_HydroCap_2029,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: HydroCap :: 2029,Power,HydroCap,VN,2792019614.036981,2788151650.836441,-3867963.2005400658,-0.0013853639068628811,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_001,VN_ABCD_001_HydroCap_2030,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: HydroCap :: 2030,Power,HydroCap,VN,2823738740.9504647,2823003546.471897,-735194.4785676003,-2.6036207525351136e-4,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
a2debc22-7f7d-4d2e-a411-8d587c869bcc,VN_ABCD_002,VN_ABCD_002_CoalCap_2026,Vinacomin Power JSC,Vinacomin Power JSC :: CoalCap :: 2026,Power,CoalCap,VN,998556615.1970661,7075323.649202884,-991481291.5478631,-0.992914449174415,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
